video_id,title,genre,duration_seconds,patent_id
v_00000,Video 0,action,2637,pat_4115
v_00001,Video 1,horror,2806,pat_3240
v_00002,Video 2,comedy,2600,pat_1645
v_00003,Video 3,horror,3260,pat_8222
v_00004,Video 4,drama,2403,pat_6977
v_00005,Video 5,documentary,399,pat_5835
v_00006,Video 6,sci-fi,3091,pat_7807
v_00007,Video 7,documentary,852,pat_3165
v_00008,Video 8,sci-fi,2204,pat_9221
v_00009,Video 9,horror,3431,pat_3695
v_00010,Video 10,horror,3407,pat_8894
v_00011,Video 11,horror,3087,pat_6549
v_00012,Video 12,comedy,1948,pat_2233
v_00013,Video 13,documentary,3119,pat_4696
v_00014,Video 14,fantasy,3494,pat_6992
v_00015,Video 15,comedy,3268,pat_7464
v_00016,Video 16,drama,1113,pat_9791
v_00017,Video 17,comedy,1892,pat_7038
v_00018,Video 18,horror,2424,pat_7242
v_00019,Video 19,sci-fi,473,pat_4830
v_00020,Video 20,romance,132,pat_6374
v_00021,Video 21,action,2682,pat_2035
v_00022,Video 22,romance,2901,pat_5951
v_00023,Video 23,fantasy,507,pat_3290
v_00024,Video 24,drama,182,pat_5986
v_00025,Video 25,romance,505,pat_2592
v_00026,Video 26,action,2231,pat_3222
v_00027,Video 27,fantasy,1888,pat_7078
v_00028,Video 28,fantasy,2435,pat_3531
v_00029,Video 29,fantasy,2712,pat_2622
v_00030,Video 30,romance,2551,pat_7686
v_00031,Video 31,horror,164,pat_7070
v_00032,Video 32,action,1846,pat_8285
v_00033,Video 33,action,3533,pat_6942
v_00034,Video 34,comedy,2838,pat_7018
v_00035,Video 35,sci-fi,278,pat_7523
v_00036,Video 36,horror,807,pat_3001
v_00037,Video 37,romance,405,pat_4475
v_00038,Video 38,drama,237,pat_6464
v_00039,Video 39,action,545,pat_4362
v_00040,Video 40,comedy,3428,pat_4394
v_00041,Video 41,action,3360,pat_4817
v_00042,Video 42,sci-fi,3201,pat_3417
v_00043,Video 43,drama,1165,pat_3370
v_00044,Video 44,documentary,2242,pat_5106
v_00045,Video 45,documentary,480,pat_1422
v_00046,Video 46,documentary,90,pat_6869
v_00047,Video 47,action,2441,pat_6304
v_00048,Video 48,drama,743,pat_5347
v_00049,Video 49,drama,549,pat_7897
v_00050,Video 50,comedy,3084,pat_2041
v_00051,Video 51,romance,1866,pat_6931
v_00052,Video 52,comedy,1881,pat_9254
v_00053,Video 53,action,2549,pat_1710
v_00054,Video 54,horror,1906,pat_1510
v_00055,Video 55,drama,1991,pat_7580
v_00056,Video 56,fantasy,2840,pat_2768
v_00057,Video 57,romance,2947,pat_8267
v_00058,Video 58,comedy,360,pat_6277
v_00059,Video 59,documentary,299,pat_3067
v_00060,Video 60,horror,2587,pat_9984
v_00061,Video 61,sci-fi,1590,pat_9692
v_00062,Video 62,horror,1888,pat_9282
v_00063,Video 63,fantasy,436,pat_2874
v_00064,Video 64,action,1791,pat_8398
v_00065,Video 65,action,1724,pat_6553
v_00066,Video 66,romance,1663,pat_7815
v_00067,Video 67,comedy,1310,pat_7992
v_00068,Video 68,sci-fi,2754,pat_5176
v_00069,Video 69,sci-fi,655,pat_8770
v_00070,Video 70,comedy,403,pat_2398
v_00071,Video 71,comedy,1798,pat_2582
v_00072,Video 72,sci-fi,3355,pat_3131
v_00073,Video 73,drama,2432,pat_6400
v_00074,Video 74,comedy,1712,pat_6793
v_00075,Video 75,fantasy,3585,pat_1842
v_00076,Video 76,horror,2489,pat_6119
v_00077,Video 77,sci-fi,454,pat_9313
v_00078,Video 78,action,663,pat_8900
v_00079,Video 79,action,3500,pat_2773
